iter	Passed	Remaining
688	3351	1512
689	3356	1508
690	3361	1503
691	3366	1498
692	3371	1493
693	3376	1488
694	3380	1483
695	3386	1479
696	3391	1474
697	3395	1469
698	3401	1464
699	3407	1460
700	3411	1455
701	3416	1450
702	3421	1445
703	3426	1440
704	3431	1435
705	3435	1430
706	3441	1426
707	3445	1421
708	3451	1416
709	3455	1411
710	3460	1406
711	3465	1401
712	3470	1396
713	3474	1391
714	3479	1386
715	3484	1382
716	3489	1377
717	3494	1372
718	3498	1367
719	3503	1362
720	3508	1357
721	3513	1352
722	3517	1347
723	3522	1342
724	3527	1338
725	3532	1333
726	3536	1328
727	3541	1323
728	3545	1318
729	3550	1313
730	3556	1308
731	3561	1303
732	3566	1299
733	3571	1294
734	3576	1289
735	3581	1284
736	3586	1279
737	3591	1275
738	3596	1270
739	3601	1265
740	3606	1260
741	3611	1255
742	3616	1250
743	3621	1246
744	3626	1241
745	3631	1236
746	3635	1231
747	3640	1226
748	3645	1221
749	3649	1216
750	3654	1211
751	3659	1206
752	3664	1201
753	3669	1197
754	3674	1192
755	3679	1187
756	3684	1182
757	3689	1177
758	3693	1172
759	3698	1167
760	3702	1162
761	3707	1158
762	3711	1152
763	3716	1148
764	3721	1143
765	3725	1138
766	3730	1133
767	3735	1128
768	3740	1123
769	3744	1118
770	3749	1113
771	3754	1108
772	3759	1103
773	3763	1099
774	3768	1094
775	3773	1089
776	3778	1084
777	3784	1079
778	3788	1074
779	3793	1069
780	3798	1065
781	3803	1060
782	3807	1055
783	3813	1050
784	3817	1045
785	3822	1040
786	3827	1035
787	3831	1030
788	3836	1026
789	3840	1021
790	3846	1016
791	3851	1011
792	3855	1006
793	3860	1001
794	3865	996
795	3870	991
796	3875	987
797	3880	982
798	3885	977
799	3890	972
800	3895	967
801	3900	962
802	3905	958
803	3909	953
804	3914	948
805	3919	943
806	3923	938
807	3928	933
808	3933	928
809	3938	923
810	3943	918
811	3948	914
812	3953	909
813	3957	904
814	3963	899
815	3967	894
816	3972	889
817	3978	885
818	3983	880
819	3988	875
820	3992	870
821	3997	865
822	4003	860
823	4008	856
824	4012	851
825	4017	846
826	4022	841
827	4026	836
828	4031	831
829	4036	826
830	4041	821
831	4046	817
832	4051	812
833	4055	807
834	4060	802
835	4065	797
836	4070	792
837	4075	787
838	4079	782
839	4085	778
840	4089	773
841	4094	768
842	4099	763
843	4103	758
844	4108	753
845	4113	748
846	4118	743
847	4123	739
848	4128	734
849	4132	729
850	4137	724
851	4143	719
852	4148	714
853	4153	710
854	4157	705
855	4162	700
856	4167	695
857	4172	690
858	4177	685
859	4181	680
860	4186	675
861	4191	671
862	4196	666
863	4200	661
864	4206	656
865	4211	651
866	4216	646
867	4221	641
868	4226	637
869	4231	632
870	4236	627
871	4241	622
872	4245	617
873	4250	612
874	4255	607
875	4259	602
876	4264	598
877	4268	593
878	4273	588
879	4279	583
880	4283	578
881	4289	573
882	4293	568
883	4298	563
884	4302	559
885	4307	554
886	4312	549
887	4317	544
888	4322	539
889	4326	534
890	4331	529
891	4336	524
892	4340	520
893	4345	515
894	4350	510
895	4355	505
896	4360	500
897	4364	495
898	4369	490
899	4374	486
900	4379	481
901	4384	476
902	4389	471
903	4393	466
904	4398	461
905	4403	456
906	4408	452
907	4412	447
908	4417	442
909	4422	437
910	4427	432
911	4432	427
912	4437	422
913	4441	417
914	4446	413
915	4451	408
916	4456	403
917	4460	398
918	4465	393
919	4470	388
920	4474	383
921	4479	378
922	4484	374
923	4489	369
924	4494	364
925	4499	359
926	4504	354
927	4508	349
928	4512	344
929	4517	340
930	4522	335
931	4527	330
932	4532	325
933	4537	320
934	4542	315
935	4547	310
936	4552	306
937	4556	301
938	4561	296
939	4566	291
940	4570	286
941	4576	281
942	4581	276
943	4586	272
944	4591	267
945	4596	262
946	4601	257
947	4606	252
948	4610	247
949	4615	242
950	4620	238
951	4625	233
952	4630	228
953	4635	223
954	4639	218
955	4644	213
956	4649	208
957	4654	204
958	4659	199
959	4664	194
960	4669	189
961	4674	184
962	4679	179
963	4684	174
964	4689	170
965	4694	165
966	4699	160
967	4704	155
968	4709	150
969	4713	145
970	4718	140
971	4723	136
972	4728	131
973	4732	126
974	4737	121
975	4742	116
976	4747	111
977	4752	106
978	4757	102
979	4762	97
980	4767	92
981	4772	87
982	4776	82
983	4782	77
984	4787	72
985	4792	68
986	4796	63
987	4801	58
988	4806	53
989	4810	48
990	4815	43
991	4820	38
992	4824	34
993	4829	29
994	4834	24
995	4839	19
996	4844	14
997	4849	9
998	4854	4
999	4859	0
